jenis_barang,kategori,harga,bulan,jumlah_penjualan,stok,status,status_penjualan,status_stok
Aqua 600ml,Minuman,5000,Januari,120,50,eceran,Tinggi,Cukup
Aqua 600ml,Minuman,5000,Februari,130,45,eceran,Tinggi,Rendah
Aqua 600ml,Minuman,5000,Maret,125,60,eceran,Tinggi,Cukup
Aqua 600ml,Minuman,5000,April,135,40,eceran,Tinggi,Rendah
Aqua 600ml,Minuman,5000,Mei,110,65,eceran,Tinggi,Cukup
Aqua 600ml,Minuman,5000,Juni,140,35,eceran,Tinggi,Rendah
Aqua 600ml,Minuman,5000,Juli,115,55,eceran,Tinggi,Cukup
Aqua 600ml,Minuman,5000,Agustus,150,25,eceran,Tinggi,Rendah
Aqua 600ml,Minuman,5000,September,105,70,eceran,Tinggi,Cukup
Aqua 600ml,Minuman,5000,Oktober,160,20,eceran,Tinggi,Rendah
Aqua 600ml,Minuman,5000,November,100,75,eceran,Tinggi,Cukup
Aqua 600ml,Minuman,5000,Desember,170,15,eceran,Tinggi,Rendah
Rinso,Deterjen,15000,Januari,80,40,eceran,Sedang,Rendah
Rinso,Deterjen,15000,Februari,85,35,eceran,Sedang,Rendah
Rinso,Deterjen,15000,Maret,75,50,eceran,Sedang,Cukup
Rinso,Deterjen,15000,April,90,30,eceran,Tinggi,Rendah
Rinso,Deterjen,15000,Mei,70,60,eceran,Sedang,Cukup
Rinso,Deterjen,15000,Juni,95,25,eceran,Tinggi,Rendah
Rinso,Deterjen,15000,Juli,65,70,eceran,Sedang,Cukup
Rinso,Deterjen,15000,Agustus,100,20,eceran,Tinggi,Rendah
Rinso,Deterjen,15000,September,60,80,eceran,Sedang,Cukup
Rinso,Deterjen,15000,Oktober,105,15,eceran,Tinggi,Rendah
Rinso,Deterjen,15000,November,55,90,eceran,Sedang,Cukup
Rinso,Deterjen,15000,Desember,110,10,eceran,Tinggi,Rendah
Coca Cola,Minuman,8000,Januari,100,75,eceran,Tinggi,Cukup
Coca Cola,Minuman,8000,Februari,95,85,eceran,Sedang,Cukup
Coca Cola,Minuman,8000,Maret,90,100,eceran,Sedang,Cukup
Coca Cola,Minuman,8000,April,85,110,eceran,Sedang,Cukup
Coca Cola,Minuman,8000,Mei,105,70,eceran,Tinggi,Cukup
Coca Cola,Minuman,8000,Juni,80,120,eceran,Sedang,Cukup
Coca Cola,Minuman,8000,Juli,75,130,eceran,Sedang,Cukup
Coca Cola,Minuman,8000,Agustus,110,60,eceran,Tinggi,Cukup
Coca Cola,Minuman,8000,September,70,140,eceran,Sedang,Cukup
Coca Cola,Minuman,8000,Oktober,115,50,eceran,Tinggi,Cukup
Coca Cola,Minuman,8000,November,65,150,eceran,Sedang,Cukup
Coca Cola,Minuman,8000,Desember,120,40,eceran,Tinggi,Cukup
Indomie,Makanan,3000,Januari,170,60,eceran,Tinggi,Cukup
Indomie,Makanan,3000,Februari,160,70,eceran,Tinggi,Cukup
Indomie,Makanan,3000,Maret,150,80,eceran,Tinggi,Cukup
Indomie,Makanan,3000,April,155,90,eceran,Tinggi,Cukup
Indomie,Makanan,3000,Mei,165,50,eceran,Tinggi,Cukup
Indomie,Makanan,3000,Juni,140,100,eceran,Tinggi,Cukup
Indomie,Makanan,3000,Juli,135,110,eceran,Tinggi,Cukup
Indomie,Makanan,3000,Agustus,175,40,eceran,Tinggi,Cukup
Indomie,Makanan,3000,September,130,120,eceran,Tinggi,Cukup
Indomie,Makanan,3000,Oktober,180,30,eceran,Tinggi,Rendah
Indomie,Makanan,3000,November,125,130,eceran,Tinggi,Cukup
Indomie,Makanan,3000,Desember,185,20,eceran,Tinggi,Rendah
Sari Roti,Makanan,12000,Januari,80,35,eceran,Tinggi,Cukup
Sari Roti,Makanan,12000,Februari,75,45,eceran,Sedang,Rendah
Sari Roti,Makanan,12000,Maret,70,50,eceran,Sedang,Cukup
Sari Roti,Makanan,12000,April,65,60,eceran,Sedang,Cukup
Sari Roti,Makanan,12000,Mei,85,25,eceran,Tinggi,Rendah
Sari Roti,Makanan,12000,Juni,60,70,eceran,Sedang,Cukup
Sari Roti,Makanan,12000,Juli,55,80,eceran,Sedang,Cukup
